Run,P_{T},H_{2}:CO,U/W,X_{CO},LG,LPG,Gas,Dies,O_{2+},O_{4+},O_{9+}
1,1.5,2,1.5,46.2,0.226,0.069,0.101,0.07,0.14,0.339,0.055
2,1.2,0.5,1,44.6,0.133,0.04,0.065,0.049,0.18,0.443,0.089
3,1.6,1,1,62.3,0.191,0.072,0.103,0.087,0.153,0.345,0.048
4,2.4,2,1,68.8,0.282,0.11,0.142,0.065,0.126,0.256,0.019
5,1.5,2,1.5,47.6,0.239,0.078,0.09,0.063,0.158,0.336,0.035
6,3.2,1,1,64.5,0.176,0.083,0.103,0.077,0.164,0.346,0.051
7,3,0.5,1,48.9,0.126,0.055,0.071,0.019,0.204,0.463,0.062
8,2.4,2,0.5,80.6,0.287,0.124,0.156,0.108,0.117,0.19,0.018
9,2.4,2,2,52.7,0.253,0.093,0.101,0.067,0.177,0.283,0.026
10,2.4,2,1.5,61.2,0.269,0.101,0.109,0.068,0.169,0.263,0.021
11,1.5,2,1.5,53.4,0.283,0.096,0.098,0.054,0.178,0.276,0.016
12,1.5,2,1.5,40.8,0.273,0.076,0.08,0.054,0.189,0.296,0.032
13,1.2,2,0.5,62.2,0.334,0.098,0.133,0.065,0.152,0.223,0.016
14,1.2,2,2,33.3,0.279,0.065,0.069,0.048,0.202,0.304,0.033
15,2.4,0.5,2,33,0.149,0.051,0.061,0.054,0.204,0.431,0.05
16,2.4,0.5,0.5,52.7,0.138,0.052,0.082,0.058,0.181,0.415,0.073
17,1.5,2,1.5,53,0.298,0.084,0.092,0.057,0.17,0.276,0.024
18,1.2,2,0.5,73,0.353,0.111,0.124,0.07,0.129,0.199,0.014
19,0.8,1,1,45.3,0.217,0.055,0.08,0.052,0.187,0.378,0.032
20,1.5,2,1.5,55.3,0.299,0.084,0.099,0.029,0.166,0.299,0.025
